[Ne III]	3967.79
H I	3970.07
He I	4026.21
[S II]/C III	4068.60
[S II]/O II	4076.35
H I	4101.74
He I	4143.76
C II	4267.15
O II/[Fe II]	4276.83
[Fe II]	4287.39
H I	4340.47
[O III]	4363.21
He I	4387.93
[Fe II]/O II	4413.78
[Fe II]/O II	4416.27
He I	4437.55
He I	4471.09
He II	4541.59
[Mg I]	4562.6017
Mg I]	4571.0956
O II	4590.97
N II/[Fe III]	4607.16
O II	4610.2
N II/C II?	4621.39
N II	4630.54
O II	4638.86
O II	4641.81
O II	4649.13
O II	4650.84
[Fe III]	4658.10
O II	4661.63
O II	4676.24
[Fe III]	4701.62
[Ar IV]	4711.37
He I	4713.14
[Fe III]	4733.93
[Ar IV]	4740.17
[Fe III]	4754.83
[Fe III]	4769.6
[Fe III]	4777.88
H I	4861.32
He I	4921.93
[O III]	4958.91
[O III]	5006.84
O I	5146.61
[Fe II]	5158.81
[Ar III]	5191.82
[N I]	5197.90
[N I]	5200.26
[Fe II]	5261.61
[Fe III]	5270.40
[Fe II]	5273.38
O I	5298.89
C II	5342.40
[Fe III]	5412.00
O II	5433.49
S II	5453.81
???	5462.0
O I	5512.77
[Cl III]	5517.71
[Cl III]	5537.88
O I	5555.03
[O I]/Sky	5577.34
O III	5592.37
N II	5679.56
[N II]	5755.08
C IV	5801.33
C IV	5811.98
He I	5875.62
??	5890.0
O I	6046.23
Sky	6136
[O I]	6300.30
[S III]	6312.06
Si II	6347.11
[O I]	6363.78
Si II	6371.36
Sky	6398
C II	6454.77
C II	6461.95
[N II]	6548.05
H I	6562.79
[N II]	6583.45
He I	6678.15
[S II]	6716.44
[S II]	6730.816
Sky	6864
Sky	6924
Sky	6959
